timestamp,error_xy,dx,dy,cube_x,cube_y,cube_z,ee_x,ee_y,ee_z,confidence,control_mode
1757510811.316220,0.208446,0.205977,-0.031986,0.514611,-0.031058,0.075091,0.308634,0.000928,0.487914,0.905273,manual
1757510811.326011,0.207632,0.205020,-0.032828,0.513654,-0.031901,0.076728,0.308633,0.000927,0.487913,0.913574,manual
1757510811.336030,0.207631,0.205020,-0.032828,0.513654,-0.031901,0.076728,0.308634,0.000927,0.487913,0.913574,manual
1757510811.346133,0.207630,0.205019,-0.032828,0.513654,-0.031901,0.076728,0.308635,0.000926,0.487913,0.913574,manual
1757510811.356069,0.206564,0.203761,-0.033916,0.512396,-0.032990,0.077819,0.308635,0.000926,0.487913,0.915527,manual
1757510811.366252,0.206564,0.203761,-0.033917,0.512396,-0.032990,0.077819,0.308635,0.000927,0.487916,0.915527,manual
1757510811.376112,0.206565,0.203762,-0.033916,0.512396,-0.032990,0.077819,0.308634,0.000926,0.487914,0.915527,manual
1757510811.386021,0.206564,0.203761,-0.033916,0.512396,-0.032990,0.077819,0.308635,0.000926,0.487914,0.915527,manual
1757510811.396295,0.208424,0.205947,-0.032039,0.514583,-0.031112,0.076728,0.308635,0.000927,0.487914,0.917969,manual
1757510811.406209,0.208425,0.205948,-0.032038,0.514583,-0.031112,0.076728,0.308634,0.000926,0.487914,0.917969,manual
1757510811.416162,0.208426,0.205948,-0.032039,0.514583,-0.031112,0.076728,0.308634,0.000927,0.487914,0.917969,manual
1757510811.426033,0.207877,0.205301,-0.032620,0.513935,-0.031692,0.078364,0.308633,0.000928,0.487913,0.915527,manual
1757510811.436116,0.207875,0.205300,-0.032617,0.513935,-0.031692,0.078364,0.308635,0.000924,0.487912,0.915527,manual
1757510811.506143,0.208002,0.205728,-0.030669,0.516159,-0.029743,0.075091,0.310431,0.000927,0.488026,0.909180,manual
1757510811.516238,0.207407,0.205127,-0.030666,0.516159,-0.029743,0.075091,0.311032,0.000923,0.488050,0.909180,manual
1757510811.526168,0.204555,0.201916,-0.032750,0.513691,-0.031830,0.074545,0.311775,0.000921,0.488057,0.917969,manual
1757510811.536223,0.203741,0.201092,-0.032752,0.513691,-0.031830,0.074545,0.312600,0.000922,0.488044,0.917969,manual
1757510811.686172,0.191165,0.188549,-0.031517,0.514405,-0.030659,0.072363,0.325856,0.000858,0.484238,0.912598,manual
1757510811.696223,0.193801,0.191631,-0.028921,0.518065,-0.028075,0.072363,0.326434,0.000846,0.483914,0.908203,manual
1757510811.706134,0.193246,0.191070,-0.028920,0.518065,-0.028075,0.072363,0.326995,0.000845,0.483626,0.908203,manual
1757510811.716239,0.192720,0.190537,-0.028923,0.518065,-0.028075,0.072363,0.327528,0.000849,0.483382,0.908203,manual
1757510811.746203,0.188627,0.186282,-0.029649,0.515279,-0.028805,0.075402,0.328997,0.000844,0.482755,0.913086,manual
1757510811.786242,0.185775,0.182933,-0.032371,0.513428,-0.031538,0.075091,0.330494,0.000833,0.482461,0.913574,manual
1757510811.816079,0.185491,0.182700,-0.032056,0.514258,-0.031214,0.080483,0.331558,0.000842,0.482431,0.908203,manual
1757510811.826055,0.185014,0.182205,-0.032116,0.514330,-0.031268,0.073454,0.332124,0.000848,0.482442,0.905273,manual
1757510811.836020,0.184171,0.181350,-0.032115,0.514330,-0.031268,0.073454,0.332980,0.000847,0.482503,0.905273,manual
1757510811.846060,0.183116,0.180278,-0.032114,0.514330,-0.031268,0.073454,0.334051,0.000847,0.482622,0.905273,manual
1757510811.856044,0.182125,0.179273,-0.032107,0.514330,-0.031268,0.073454,0.335057,0.000840,0.482731,0.905273,manual
1757510812.006274,0.169724,0.166996,-0.030305,0.517103,-0.029513,0.075583,0.350107,0.000791,0.481033,0.908691,manual
1757510812.016122,0.169064,0.166325,-0.030308,0.517103,-0.029513,0.075583,0.350778,0.000795,0.480929,0.908691,manual
1757510812.026080,0.163276,0.159289,-0.035862,0.510748,-0.035062,0.084295,0.351459,0.000800,0.480773,0.912598,manual
1757510812.036099,0.162624,0.158620,-0.035862,0.510748,-0.035062,0.084295,0.352128,0.000801,0.480586,0.912598,manual
1757510812.046108,0.161996,0.157978,-0.035854,0.510748,-0.035062,0.084295,0.352770,0.000793,0.480456,0.912598,manual
1757510812.066189,0.168389,0.166381,-0.025921,0.520337,-0.025143,0.067232,0.353955,0.000779,0.480319,0.905273,manual
1757510812.076093,0.167841,0.165828,-0.025915,0.520337,-0.025143,0.067232,0.354509,0.000773,0.480272,0.905273,manual
1757510812.166235,0.161110,0.158613,-0.028256,0.518712,-0.027495,0.070727,0.360099,0.000761,0.480718,0.908203,manual
1757510812.186178,0.158877,0.156345,-0.028253,0.518712,-0.027495,0.070727,0.362368,0.000758,0.481055,0.908203,manual
1757510812.216267,0.152129,0.148751,-0.031877,0.514583,-0.031112,0.076728,0.365831,0.000765,0.481337,0.915527,manual
1757510812.226006,0.148020,0.144196,-0.033428,0.511238,-0.032664,0.078364,0.367042,0.000763,0.481417,0.921387,manual
1757510812.236063,0.146826,0.142970,-0.033430,0.511238,-0.032664,0.078364,0.368268,0.000766,0.481462,0.921387,manual
1757510812.246191,0.145587,0.141697,-0.033429,0.511238,-0.032664,0.078364,0.369541,0.000765,0.481442,0.921387,manual
1757510812.376231,0.128725,0.123739,-0.035480,0.511088,-0.034745,0.082661,0.387350,0.000735,0.480137,0.918457,manual
1757510812.386125,0.127718,0.122691,-0.035480,0.511088,-0.034745,0.082661,0.388397,0.000735,0.479869,0.918457,manual
1757510812.396154,0.129857,0.126102,-0.031002,0.515540,-0.030269,0.075091,0.389438,0.000733,0.479620,0.914062,manual
1757510812.406049,0.128863,0.125076,-0.031009,0.515540,-0.030269,0.075091,0.390464,0.000740,0.479446,0.914062,manual
1757510812.416157,0.127904,0.124086,-0.031016,0.515540,-0.030269,0.075091,0.391453,0.000747,0.479331,0.914062,manual
1757510812.426117,0.126008,0.122272,-0.030458,0.514665,-0.029711,0.076728,0.392394,0.000747,0.479222,0.905762,manual
1757510812.436154,0.125160,0.121399,-0.030453,0.514665,-0.029711,0.076728,0.393267,0.000741,0.479127,0.905762,manual
1757510812.446128,0.124359,0.120574,-0.030447,0.514665,-0.029711,0.076728,0.394091,0.000736,0.479063,0.905762,manual
1757510812.456119,0.122933,0.118451,-0.032892,0.513344,-0.032164,0.076728,0.394893,0.000727,0.478962,0.917969,manual
1757510812.466228,0.122173,0.117664,-0.032886,0.513344,-0.032164,0.076728,0.395680,0.000721,0.478849,0.917969,manual
1757510812.476096,0.121461,0.116925,-0.032885,0.513344,-0.032164,0.076728,0.396419,0.000720,0.478785,0.917969,manual
1757510812.486109,0.120805,0.116241,-0.032893,0.513344,-0.032164,0.076728,0.397103,0.000728,0.478757,0.917969,manual
1757510812.496096,0.121230,0.116799,-0.032478,0.514555,-0.031743,0.079394,0.397757,0.000734,0.478696,0.924805,manual
1757510812.506212,0.120612,0.116155,-0.032485,0.514555,-0.031743,0.079394,0.398400,0.000741,0.478624,0.924805,manual
1757510812.516130,0.119976,0.115494,-0.032486,0.514555,-0.031743,0.079394,0.399061,0.000743,0.478563,0.924805,manual
1757510812.526117,0.122015,0.118639,-0.028503,0.518403,-0.027758,0.070727,0.399763,0.000746,0.478620,0.911133,manual
1757510812.536058,0.121230,0.117833,-0.028500,0.518403,-0.027758,0.070727,0.400570,0.000742,0.478743,0.911133,manual
1757510812.546104,0.120347,0.116927,-0.028490,0.518403,-0.027758,0.070727,0.401476,0.000733,0.478873,0.911133,manual
1757510812.556016,0.116951,0.112878,-0.030594,0.515332,-0.029870,0.072363,0.402454,0.000725,0.478993,0.910645,manual
1757510812.766195,0.100928,0.096523,-0.029490,0.517093,-0.029531,0.076127,0.420570,-0.000041,0.478921,0.913574,manual
1757510812.776011,0.100486,0.096066,-0.029474,0.517093,-0.029531,0.076127,0.421027,-0.000057,0.478882,0.913574,manual
1757510812.786160,0.100085,0.095646,-0.029473,0.517093,-0.029531,0.076127,0.421447,-0.000058,0.478859,0.913574,manual
1757510812.796137,0.099556,0.095286,-0.028843,0.517117,-0.028900,0.073454,0.421830,-0.000056,0.478829,0.918945,manual
1757510812.806036,0.099206,0.094923,-0.028835,0.517117,-0.028900,0.073454,0.422193,-0.000065,0.478764,0.918945,manual
1757510812.816237,0.098886,0.094586,-0.028841,0.517117,-0.028900,0.073454,0.422531,-0.000058,0.478690,0.918945,manual
1757510812.826037,0.097618,0.093812,-0.026993,0.516644,-0.027032,0.071045,0.422832,-0.000040,0.478643,0.905762,manual
