timestamp,error_xy,dx,dy,cube_x,cube_y,cube_z,ee_x,ee_y,ee_z,confidence,control_mode
1757509400.587543,0.088058,0.070896,0.052231,0.526683,0.009814,0.082706,0.455787,-0.042417,0.490486,0.629883,manual
1757509400.597518,0.087096,0.068684,0.053557,0.524471,0.011141,0.090367,0.455788,-0.042415,0.490485,0.835449,manual
1757509400.607428,0.087083,0.068665,0.053558,0.524471,0.011141,0.090367,0.455806,-0.042417,0.490445,0.835449,manual
1757509400.617438,0.087063,0.068645,0.053553,0.524471,0.011141,0.090367,0.455827,-0.042412,0.490358,0.835449,manual
1757509400.627388,0.087058,0.068642,0.053548,0.524471,0.011141,0.090367,0.455829,-0.042407,0.490217,0.835449,manual
1757509400.637424,0.094589,0.073066,0.060071,0.528869,0.017652,0.082879,0.455803,-0.042419,0.489949,0.838867,manual
1757509400.647524,0.094629,0.073109,0.060082,0.528869,0.017652,0.082879,0.455761,-0.042430,0.489580,0.838867,manual
1757509400.657403,0.094674,0.073168,0.060081,0.528869,0.017652,0.082879,0.455702,-0.042430,0.489137,0.838867,manual
1757509400.667379,0.093662,0.072023,0.059877,0.527632,0.017439,0.084281,0.455608,-0.042438,0.488534,0.811523,manual
1757509400.677455,0.093740,0.072106,0.059900,0.527632,0.017439,0.084281,0.455526,-0.042461,0.487816,0.811523,manual
1757509400.697501,0.095989,0.072553,0.062849,0.527944,0.020336,0.086201,0.455391,-0.042514,0.485873,0.887207,manual
1757509400.707368,0.096057,0.072612,0.062884,0.527944,0.020336,0.086201,0.455333,-0.042549,0.484910,0.887207,manual
1757509400.717489,0.096121,0.072653,0.062935,0.527944,0.020336,0.086201,0.455291,-0.042599,0.483568,0.887207,manual
1757509400.727411,0.096105,0.072588,0.062985,0.527944,0.020336,0.086201,0.455356,-0.042649,0.482564,0.887207,manual
1757509401.387636,0.125627,0.065407,0.107257,0.522600,0.064156,0.089468,0.457193,-0.043101,0.476642,0.834473,manual
1757509401.397533,0.128133,0.066033,0.109808,0.523226,0.066709,0.086836,0.457193,-0.043099,0.476643,0.866211,manual
1757509401.407360,0.128129,0.066034,0.109802,0.523226,0.066709,0.086836,0.457193,-0.043093,0.476643,0.866211,manual
1757509401.417486,0.128083,0.066027,0.109753,0.523226,0.066709,0.086836,0.457199,-0.043044,0.476642,0.866211,manual
1757509401.427444,0.127942,0.066010,0.109599,0.523226,0.066709,0.086836,0.457216,-0.042890,0.476639,0.866211,manual
1757509401.437401,0.127308,0.064085,0.110002,0.521335,0.067384,0.088158,0.457249,-0.042618,0.476627,0.863281,manual
1757509401.447421,0.126971,0.064044,0.109636,0.521335,0.067384,0.088158,0.457291,-0.042252,0.476620,0.863281,manual
1757509401.457440,0.126417,0.063978,0.109032,0.521335,0.067384,0.088158,0.457357,-0.041649,0.476616,0.863281,manual
1757509401.467469,0.128380,0.064757,0.110851,0.522192,0.069915,0.087549,0.457435,-0.040935,0.476605,0.820312,manual
1757509401.477534,0.127626,0.064670,0.110028,0.522192,0.069915,0.087549,0.457522,-0.040113,0.476598,0.820312,manual
1757509401.487481,0.126874,0.064588,0.109204,0.522192,0.069915,0.087549,0.457604,-0.039289,0.476594,0.820312,manual
1757509401.497523,0.126617,0.063838,0.109346,0.521548,0.071128,0.089962,0.457710,-0.038217,0.476582,0.745605,manual
1757509401.507439,0.125396,0.063707,0.108007,0.521548,0.071128,0.089962,0.457841,-0.036879,0.476566,0.745605,manual
1757509401.537508,0.124628,0.064237,0.106798,0.522438,0.073962,0.088355,0.458201,-0.032836,0.476487,0.847656,manual
1757509401.547519,0.123343,0.064120,0.105366,0.522438,0.073962,0.088355,0.458318,-0.031404,0.476453,0.847656,manual
1757509401.557507,0.122120,0.064013,0.103999,0.522438,0.073962,0.088355,0.458425,-0.030036,0.476419,0.847656,manual
1757509401.567430,0.120320,0.062646,0.102725,0.521210,0.074506,0.090865,0.458564,-0.028219,0.476369,0.855469,manual
1757509401.577514,0.119067,0.062545,0.101317,0.521210,0.074506,0.090865,0.458665,-0.026811,0.476335,0.855469,manual
1757509401.587456,0.117717,0.062443,0.099791,0.521210,0.074506,0.090865,0.458767,-0.025285,0.476304,0.855469,manual
1757509401.597439,0.124339,0.066209,0.105245,0.525069,0.081439,0.085666,0.458860,-0.023806,0.476258,0.644043,manual
1757509401.607495,0.122991,0.066116,0.103709,0.525069,0.081439,0.085666,0.458953,-0.022269,0.476208,0.644043,manual
1757509401.617550,0.122064,0.066061,0.102643,0.525069,0.081439,0.085666,0.459009,-0.021204,0.476177,0.644043,manual
1757509401.747568,0.127072,0.066696,0.108161,0.526044,0.093657,0.080184,0.459348,-0.014504,0.475867,0.777344,manual
1757509401.757394,0.127025,0.066693,0.108108,0.526044,0.093657,0.080184,0.459351,-0.014451,0.475859,0.777344,manual
1757509401.767518,0.124802,0.062361,0.108105,0.521716,0.093711,0.085384,0.459355,-0.014393,0.475846,0.803223,manual
1757509401.777499,0.124707,0.062354,0.107999,0.521716,0.093711,0.085384,0.459363,-0.014288,0.475833,0.803223,manual
1757509401.787532,0.124485,0.062337,0.107753,0.521716,0.093711,0.085384,0.459379,-0.014042,0.475818,0.803223,manual
1757509401.797577,0.124119,0.062312,0.107345,0.521716,0.093711,0.085384,0.459405,-0.013633,0.475808,0.803223,manual
1757509401.807474,0.123685,0.062283,0.106859,0.521716,0.093711,0.085384,0.459433,-0.013148,0.475802,0.803223,manual
1757509401.817488,0.123199,0.062255,0.106313,0.521716,0.093711,0.085384,0.459461,-0.012601,0.475786,0.803223,manual
1757509401.827520,0.122464,0.062214,0.105484,0.521716,0.093711,0.085384,0.459502,-0.011772,0.475768,0.803223,manual
1757509401.857610,0.124699,0.062162,0.108100,0.521788,0.099175,0.084624,0.459626,-0.008925,0.475699,0.835449,manual
1757509401.867454,0.123044,0.060011,0.107417,0.519676,0.099597,0.085549,0.459665,-0.007820,0.475660,0.788086,manual
1757509401.877577,0.122102,0.059975,0.106358,0.519676,0.099597,0.085549,0.459701,-0.006761,0.475620,0.788086,manual
1757509401.887454,0.120984,0.059934,0.105095,0.519676,0.099597,0.085549,0.459742,-0.005498,0.475576,0.788086,manual
