timestamp,error_xy,dx,dy,cube_x,cube_y,cube_z,ee_x,ee_y,ee_z,confidence,control_mode
1757406915.291467,0.112260,0.112204,-0.003554,0.420862,-0.002800,0.075384,0.308658,0.000754,0.487889,0.918457,follow
1757406915.390550,0.112616,0.112549,-0.003873,0.421207,-0.003118,0.075816,0.308658,0.000755,0.487887,0.918457,follow
1757406915.424753,0.111530,0.111502,-0.002537,0.422382,-0.001812,0.070726,0.310881,0.000725,0.488327,0.918945,follow
1757406915.457664,0.105376,0.105327,-0.003191,0.422358,-0.002483,0.072423,0.317030,0.000708,0.489245,0.922363,follow
1757406915.691335,0.051480,0.051057,-0.006588,0.418212,-0.006339,0.078078,0.367155,0.000249,0.480031,0.921875,follow
1757406915.791218,0.035125,0.034804,-0.004735,0.419821,-0.004621,0.078078,0.385017,0.000114,0.479078,0.924316,follow
1757406915.824811,0.030666,0.030517,-0.003027,0.420626,-0.003033,0.073684,0.390110,-0.000005,0.479117,0.921875,follow
1757406915.858472,0.029757,0.029710,0.001679,0.424599,0.001416,0.067332,0.394889,-0.000263,0.478983,0.921387,follow
1757406915.890812,0.022999,0.022888,-0.002259,0.421544,-0.002724,0.072423,0.398656,-0.000465,0.478830,0.918945,follow
1757406915.990845,0.013057,0.012727,-0.002919,0.420090,-0.003605,0.073684,0.407363,-0.000687,0.477694,0.923828,follow
1757406916.024794,0.011639,0.011638,-0.000106,0.421119,-0.000776,0.075640,0.409480,-0.000670,0.477266,0.919434,follow
1757406916.057762,0.010302,0.010202,-0.001433,0.421239,-0.002140,0.073815,0.411037,-0.000707,0.476878,0.919434,follow
1757406916.091681,0.013128,0.012840,0.002739,0.425093,0.002035,0.068733,0.412253,-0.000704,0.476601,0.918457,follow
1757406916.127238,0.008699,0.008435,-0.002127,0.421475,-0.002832,0.075816,0.413041,-0.000705,0.476220,0.920898,follow
1757406916.158436,0.009794,0.009792,-0.000204,0.423210,-0.000917,0.069595,0.413418,-0.000713,0.475854,0.917480,follow
1757406916.191634,0.007098,0.003310,-0.006278,0.417001,-0.006987,0.081050,0.413690,-0.000709,0.475594,0.921875,follow
1757406916.225219,0.007274,0.006464,-0.003336,0.420380,-0.004013,0.076947,0.413916,-0.000677,0.475532,0.919434,follow
1757406916.258235,0.006968,0.005564,-0.004195,0.419587,-0.004854,0.076382,0.414023,-0.000659,0.475540,0.922852,follow
1757406916.291811,0.007806,0.007169,-0.003089,0.421207,-0.003753,0.076382,0.414038,-0.000664,0.475553,0.924316,follow
1757406916.325825,0.008702,0.008573,-0.001497,0.422616,-0.002215,0.072988,0.414043,-0.000718,0.475548,0.923828,follow
1757406916.390921,0.007526,0.002762,-0.007001,0.416803,-0.007878,0.081472,0.414041,-0.000877,0.475553,0.925781,follow
1757406916.458025,0.007219,0.005181,-0.005028,0.419229,-0.005918,0.081472,0.414048,-0.000890,0.475554,0.927246,follow
1757406916.558236,0.007041,0.006534,-0.002622,0.420595,-0.003722,0.075950,0.414061,-0.001100,0.475559,0.923828,follow
1757406916.592358,0.006546,0.002354,-0.006109,0.416414,-0.007373,0.084126,0.414060,-0.001265,0.475558,0.917480,follow
1757406916.625163,0.014916,-0.004548,-0.014206,0.409509,-0.015578,0.098098,0.414057,-0.001372,0.475561,0.907227,follow
1757406916.658837,0.018880,-0.007886,-0.017154,0.406172,-0.018581,0.103745,0.414058,-0.001427,0.475560,0.917969,follow
1757406916.691669,0.018635,-0.007320,-0.017137,0.406738,-0.018589,0.102616,0.414058,-0.001451,0.475559,0.910645,follow
1757406916.725319,0.016084,-0.005440,-0.015136,0.408619,-0.016585,0.102616,0.414059,-0.001449,0.475558,0.909668,follow
1757406916.758765,0.018489,-0.007301,-0.016986,0.406707,-0.018644,0.104310,0.414007,-0.001658,0.475540,0.911621,follow
1757406916.792830,0.018299,-0.006887,-0.016954,0.406951,-0.019266,0.105226,0.413838,-0.002312,0.475518,0.910645,follow
1757406916.825778,0.019252,-0.008121,-0.017455,0.405596,-0.020716,0.105792,0.413717,-0.003261,0.475517,0.905273,follow
1757406916.858589,0.017377,-0.008333,-0.015249,0.405334,-0.019537,0.105226,0.413667,-0.004289,0.475520,0.891113,follow
1757406917.092490,0.007253,-0.004628,-0.005584,0.408603,-0.016299,0.106735,0.413231,-0.010715,0.475388,0.892578,follow
1757406917.125869,0.006567,-0.002659,-0.006005,0.410523,-0.017234,0.107466,0.413182,-0.011230,0.475384,0.894043,follow
1757406917.158783,0.006709,0.001244,-0.006593,0.414389,-0.018225,0.108574,0.413146,-0.011633,0.475378,0.881836,follow
1757406917.192801,0.008029,0.004061,-0.006926,0.417178,-0.018876,0.107615,0.413117,-0.011951,0.475365,0.889648,follow
1757406917.225285,0.009382,0.007451,-0.005701,0.420555,-0.017870,0.107821,0.413103,-0.012169,0.475364,0.844727,follow
1757406917.258912,0.012913,0.010531,-0.007472,0.423630,-0.019745,0.108155,0.413099,-0.012272,0.475359,0.888672,follow
1757406917.292304,0.015462,0.014204,-0.006109,0.427312,-0.018444,0.107817,0.413108,-0.012335,0.475367,0.893066,follow
1757406917.325624,0.019131,0.018112,-0.006162,0.431266,-0.018571,0.107265,0.413154,-0.012409,0.475377,0.848145,follow
1757406917.359429,0.021200,0.020259,-0.006247,0.433531,-0.018757,0.109175,0.413272,-0.012510,0.475423,0.890137,follow
1757406917.392576,0.024776,0.024360,-0.004523,0.437821,-0.017125,0.107529,0.413461,-0.012602,0.475471,0.876465,follow
1757406917.426042,0.026233,0.026060,-0.003003,0.439819,-0.015708,0.105868,0.413759,-0.012705,0.475488,0.884277,follow
1757406917.458728,0.029462,0.029417,-0.001630,0.443569,-0.014402,0.105036,0.414151,-0.012772,0.475465,0.886230,follow
1757406917.492547,0.031425,0.031364,-0.001957,0.446116,-0.014786,0.105207,0.414752,-0.012829,0.475404,0.876465,follow
1757406917.526096,0.034987,0.034987,-0.000076,0.450434,-0.012950,0.105496,0.415447,-0.012874,0.475233,0.890137,follow
1757406917.558789,0.036505,0.036491,0.001013,0.452747,-0.011884,0.105370,0.416256,-0.012897,0.475012,0.888184,follow
1757406917.592642,0.037212,0.037202,0.000875,0.454455,-0.012041,0.106891,0.417253,-0.012915,0.474730,0.871582,follow
1757406917.625805,0.041627,0.041535,0.002768,0.459948,-0.010185,0.106398,0.418412,-0.012953,0.474407,0.888672,follow
1757406917.658881,0.044452,0.044170,0.005003,0.464042,-0.007997,0.104649,0.419872,-0.013000,0.473999,0.884277,follow
1757406917.693040,0.041384,0.041326,0.002197,0.462893,-0.010811,0.102749,0.421568,-0.013008,0.473482,0.894043,follow
