seq_id,msg_type,event,stamp_send,stamp_recv,delay_s,buffer_size 
0,joint_state,recv,1757406896.117383,1757406896.117500,0.000117,1
1,joint_state,recv,1757406896.149373,1757406896.149474,0.000101,2
2,joint_state,recv,1757406896.183348,1757406896.183432,0.000084,3
3,joint_state,recv,1757406896.217406,1757406896.217549,0.000143,4
4,joint_state,recv,1757406896.249364,1757406896.249533,0.000169,5
5,joint_state,recv,1757406896.283424,1757406896.283678,0.000254,6
6,joint_state,recv,1757406896.317385,1757406896.317609,0.000225,7
7,joint_state,recv,1757406896.349380,1757406896.349598,0.000219,8
8,joint_state,recv,1757406896.383447,1757406896.383653,0.000206,9
9,joint_state,recv,1757406896.417371,1757406896.417674,0.000303,10
10,joint_state,recv,1757406896.449432,1757406896.449690,0.000258,11
11,joint_state,recv,1757406896.483624,1757406896.483926,0.000302,12
12,joint_state,recv,1757406896.518156,1757406896.518405,0.000249,13
13,joint_state,recv,1757406896.549376,1757406896.549738,0.000362,14
14,joint_state,recv,1757406896.583382,1757406896.583621,0.000238,15
15,joint_state,recv,1757406896.617394,1757406896.617610,0.000216,16
16,joint_state,recv,1757406896.649425,1757406896.649824,0.000399,17
17,joint_state,recv,1757406896.683375,1757406896.683655,0.000280,18
18,joint_state,recv,1757406896.717443,1757406896.717717,0.000274,19
19,joint_state,recv,1757406896.749418,1757406896.749671,0.000254,20
20,joint_state,recv,1757406896.783424,1757406896.783723,0.000299,21
21,joint_state,recv,1757406896.817403,1757406896.817685,0.000282,22
22,joint_state,recv,1757406896.849409,1757406896.849625,0.000216,23
23,joint_state,recv,1757406896.882616,1757406896.882916,0.000301,24
24,joint_state,recv,1757406896.917381,1757406896.917529,0.000148,25
25,joint_state,recv,1757406896.949391,1757406896.949584,0.000193,26
26,joint_state,recv,1757406896.983452,1757406896.983721,0.000269,27
27,joint_state,recv,1757406897.017373,1757406897.017659,0.000286,28
28,joint_state,recv,1757406897.049340,1757406897.049559,0.000219,29
29,joint_state,recv,1757406897.083403,1757406897.083746,0.000342,30
30,joint_state,recv,1757406897.117417,1757406897.117703,0.000286,31
31,joint_state,recv,1757406897.149387,1757406897.149772,0.000385,32
32,joint_state,recv,1757406897.183404,1757406897.183738,0.000334,33
33,joint_state,recv,1757406897.217412,1757406897.217958,0.000546,34
34,joint_state,recv,1757406897.249384,1757406897.249775,0.000391,35
35,joint_state,recv,1757406897.283404,1757406897.283815,0.000411,36
36,joint_state,recv,1757406897.317408,1757406897.317765,0.000357,37
37,joint_state,recv,1757406897.349424,1757406897.349601,0.000177,38
38,joint_state,recv,1757406897.383427,1757406897.383631,0.000204,39
39,joint_state,recv,1757406897.417339,1757406897.417520,0.000181,40
40,joint_state,recv,1757406897.449433,1757406897.449663,0.000230,41
41,joint_state,recv,1757406897.483413,1757406897.483738,0.000325,42
42,joint_state,recv,1757406897.517440,1757406897.517789,0.000349,43
43,joint_state,recv,1757406897.549393,1757406897.549657,0.000264,44
44,joint_state,recv,1757406897.583432,1757406897.583665,0.000234,45
45,joint_state,recv,1757406897.617403,1757406897.617653,0.000250,46
46,joint_state,recv,1757406897.649443,1757406897.649704,0.000261,47
47,joint_state,recv,1757406897.683394,1757406897.683608,0.000214,48
48,joint_state,recv,1757406897.717426,1757406897.717743,0.000317,49
49,joint_state,recv,1757406897.749436,1757406897.749698,0.000262,50
50,joint_state,recv,1757406897.783411,1757406897.783765,0.000354,51
51,joint_state,recv,1757406897.817409,1757406897.817718,0.000309,52
52,joint_state,recv,1757406897.849409,1757406897.849623,0.000214,53
53,joint_state,recv,1757406897.883705,1757406897.883958,0.000253,54
54,joint_state,recv,1757406897.917426,1757406897.917736,0.000310,55
55,joint_state,recv,1757406897.949427,1757406897.949680,0.000253,56
56,joint_state,recv,1757406897.983411,1757406897.983694,0.000283,57
57,joint_state,recv,1757406898.017388,1757406898.017656,0.000269,58
58,joint_state,recv,1757406898.049404,1757406898.049684,0.000280,59
59,joint_state,recv,1757406898.083457,1757406898.083790,0.000334,60
60,joint_state,recv,1757406898.117415,1757406898.117768,0.000353,61
