seq_id,msg_type,event,stamp_send,stamp_recv,delay_s,buffer_size 
0,joint_state,enqueue,1757511588.901220,1757511589.001220,0.100000,1
1,joint_state,enqueue,1757511588.934588,1757511589.034588,0.100000,2
2,joint_state,enqueue,1757511588.967753,1757511589.067753,0.100000,3
3,joint_state,dequeue,1757511588.901220,1757511589.001472,0.100252,2
4,joint_state,enqueue,1757511589.001391,1757511589.101391,0.100000,3
5,joint_state,enqueue,1757511589.034709,1757511589.134709,0.100000,4
6,joint_state,dequeue,1757511588.934588,1757511589.035469,0.100881,3
7,joint_state,enqueue,1757511589.068046,1757511589.168046,0.100000,4
8,joint_state,dequeue,1757511588.967753,1757511589.069462,0.101708,3
9,joint_state,dequeue,1757511589.001391,1757511589.101476,0.100085,2
10,joint_state,enqueue,1757511589.101215,1757511589.201215,0.100000,3
11,joint_state,enqueue,1757511589.134555,1757511589.234555,0.100000,4
12,joint_state,dequeue,1757511589.034709,1757511589.135436,0.100727,3
13,joint_state,enqueue,1757511589.167891,1757511589.267890,0.100000,4
14,joint_state,dequeue,1757511589.068046,1757511589.169461,0.101414,3
15,joint_state,dequeue,1757511589.101215,1757511589.201482,0.100268,2
16,joint_state,enqueue,1757511589.201350,1757511589.301350,0.100000,3
17,joint_state,enqueue,1757511589.234700,1757511589.334700,0.100000,4
18,joint_state,dequeue,1757511589.134555,1757511589.235909,0.101353,3
19,joint_state,enqueue,1757511589.268033,1757511589.368032,0.100000,4
20,joint_state,dequeue,1757511589.167891,1757511589.269497,0.101606,3
21,joint_state,dequeue,1757511589.201350,1757511589.301477,0.100127,2
22,joint_state,enqueue,1757511589.301205,1757511589.401205,0.100000,3
23,joint_state,enqueue,1757511589.334538,1757511589.434538,0.100000,4
24,joint_state,dequeue,1757511589.234700,1757511589.335430,0.100730,3
25,joint_state,enqueue,1757511589.368012,1757511589.468012,0.100000,4
26,joint_state,dequeue,1757511589.268033,1757511589.369434,0.101401,3
27,joint_state,dequeue,1757511589.301205,1757511589.401433,0.100228,2
28,joint_state,enqueue,1757511589.401368,1757511589.501368,0.100000,3
29,joint_state,enqueue,1757511589.434715,1757511589.534714,0.100000,4
30,joint_state,dequeue,1757511589.334538,1757511589.435487,0.100949,3
31,joint_state,enqueue,1757511589.467990,1757511589.567990,0.100000,4
32,joint_state,dequeue,1757511589.368012,1757511589.469405,0.101393,3
33,joint_state,dequeue,1757511589.401368,1757511589.501460,0.100092,2
34,joint_state,enqueue,1757511589.501323,1757511589.601323,0.100000,3
35,joint_state,enqueue,1757511589.534688,1757511589.634687,0.100000,4
36,joint_state,dequeue,1757511589.434715,1757511589.535451,0.100736,3
37,joint_state,enqueue,1757511589.568046,1757511589.668046,0.100000,4
38,joint_state,dequeue,1757511589.467990,1757511589.569489,0.101500,3
39,joint_state,enqueue,1757511589.601348,1757511589.701348,0.100000,4
40,joint_state,dequeue,1757511589.501323,1757511589.601834,0.100511,3
41,joint_state,enqueue,1757511589.634696,1757511589.734696,0.100000,4
42,joint_state,dequeue,1757511589.534688,1757511589.635444,0.100757,3
43,joint_state,enqueue,1757511589.668170,1757511589.768170,0.100000,4
44,joint_state,dequeue,1757511589.568046,1757511589.669493,0.101448,3
45,joint_state,dequeue,1757511589.601348,1757511589.701548,0.100200,2
46,joint_state,enqueue,1757511589.701188,1757511589.801188,0.100000,3
47,joint_state,enqueue,1757511589.734595,1757511589.834595,0.100000,4
48,joint_state,dequeue,1757511589.634696,1757511589.735428,0.100732,3
49,joint_state,enqueue,1757511589.768000,1757511589.868000,0.100000,4
50,joint_state,dequeue,1757511589.668170,1757511589.769454,0.101284,3
51,joint_state,dequeue,1757511589.701188,1757511589.801425,0.100237,2
52,joint_state,enqueue,1757511589.801373,1757511589.901372,0.100000,3
53,joint_state,enqueue,1757511589.834687,1757511589.934687,0.100000,4
54,joint_state,dequeue,1757511589.734595,1757511589.835439,0.100844,3
55,joint_state,enqueue,1757511589.868042,1757511589.968042,0.100000,4
