timestamp,error_xy,dx,dy,cube_x,cube_y,cube_z,ee_x,ee_y,ee_z,confidence,control_mode
1757407052.730994,0.060565,0.060193,0.006702,0.368754,0.007279,0.079136,0.308561,0.000577,0.487853,0.906250,follow
1757407052.763575,0.060344,0.059913,0.007199,0.368474,0.007774,0.080289,0.308561,0.000576,0.487853,0.918945,follow
1757407052.897129,0.060040,0.059647,0.006862,0.368208,0.007438,0.081442,0.308561,0.000575,0.487854,0.911621,follow
1757407052.996913,0.060932,0.060426,0.007835,0.368987,0.008411,0.079136,0.308561,0.000576,0.487855,0.920410,follow
1757407053.163743,0.060000,0.059691,0.006085,0.368252,0.006662,0.079712,0.308561,0.000577,0.487853,0.917480,follow
1757407053.997442,0.010898,0.009481,0.005374,0.368744,0.007260,0.079712,0.359263,0.001886,0.481662,0.916504,follow
1757407054.104796,0.017006,0.013017,0.010943,0.372553,0.012829,0.072216,0.359536,0.001886,0.481888,0.922852,follow
1757407054.197991,0.013809,0.010949,0.008416,0.370514,0.010301,0.076252,0.359565,0.001885,0.481979,0.916504,follow
1757407054.865190,0.006407,-0.003929,-0.005061,0.356272,-0.001581,0.105109,0.360201,0.003480,0.481945,0.841797,follow
1757407054.898674,0.008164,-0.007083,-0.004060,0.353128,-0.000536,0.106284,0.360211,0.003524,0.481945,0.851074,follow
1757407054.931488,0.010529,-0.009687,-0.004127,0.350534,-0.000570,0.106121,0.360220,0.003557,0.481948,0.844727,follow
1757407055.164881,0.014236,0.007941,-0.011815,0.368210,-0.008181,0.105871,0.360269,0.003634,0.481964,0.882324,follow
1757407055.234056,0.028277,0.020689,-0.019276,0.380966,-0.015637,0.107950,0.360277,0.003639,0.481969,0.844727,follow
1757407055.268902,0.037198,0.028326,-0.024111,0.388605,-0.020472,0.109536,0.360279,0.003639,0.481968,0.844727,follow
1757407055.298687,0.045048,0.036459,-0.026459,0.396741,-0.022819,0.107553,0.360282,0.003640,0.481970,0.858887,follow
1757407055.331709,0.052451,0.041652,-0.031878,0.401937,-0.028236,0.109919,0.360284,0.003642,0.481971,0.877441,follow
1757407055.365140,0.061879,0.050148,-0.036252,0.410433,-0.032612,0.107533,0.360285,0.003640,0.481968,0.870605,follow
1757407055.399387,0.070011,0.056774,-0.040966,0.417005,-0.037381,0.108192,0.360232,0.003586,0.481949,0.847168,follow
1757407055.432304,0.076371,0.062745,-0.043539,0.422775,-0.040127,0.108687,0.360030,0.003412,0.481901,0.882324,follow
1757407055.464879,0.081892,0.066765,-0.047421,0.426603,-0.044178,0.107111,0.359838,0.003243,0.481879,0.884766,follow
1757407055.498165,0.086899,0.071659,-0.049157,0.431283,-0.046065,0.107809,0.359624,0.003092,0.481856,0.880859,follow
1757407055.532442,0.091245,0.074200,-0.053103,0.433686,-0.050103,0.108707,0.359485,0.002999,0.481858,0.894043,follow
1757407055.565083,0.094716,0.078228,-0.053401,0.437647,-0.050481,0.106763,0.359419,0.002919,0.481851,0.904785,follow
1757407055.598545,0.095568,0.078534,-0.054459,0.437911,-0.051594,0.107133,0.359377,0.002865,0.481828,0.905273,follow
1757407055.632154,0.096943,0.079047,-0.056119,0.438403,-0.053299,0.106929,0.359356,0.002821,0.481809,0.906738,follow
1757407055.665198,0.097678,0.080516,-0.055301,0.439858,-0.052502,0.106731,0.359342,0.002799,0.481794,0.891113,follow
1757407055.698855,0.097467,0.080404,-0.055090,0.439858,-0.052502,0.106731,0.359454,0.002588,0.481812,0.898926,follow
1757407055.732783,0.097917,0.080100,-0.056318,0.439806,-0.054161,0.106526,0.359706,0.002157,0.481848,0.896484,follow
1757407055.765642,0.096619,0.079138,-0.055429,0.439231,-0.053886,0.107865,0.360093,0.001544,0.481845,0.898926,follow
1757407055.799624,0.095386,0.078993,-0.053467,0.440111,-0.053061,0.107298,0.361118,0.000406,0.481917,0.901855,follow
1757407055.832161,0.093927,0.077815,-0.052604,0.440396,-0.053606,0.105958,0.362581,-0.001002,0.481860,0.894043,follow
1757407055.865685,0.090946,0.075430,-0.050808,0.439819,-0.053577,0.105588,0.364389,-0.002769,0.481561,0.896484,follow
1757407055.898751,0.088452,0.075548,-0.046003,0.442140,-0.050931,0.106731,0.366593,-0.004928,0.481092,0.891113,follow
1757407055.932599,0.084203,0.071503,-0.044469,0.441002,-0.051973,0.105597,0.369500,-0.007504,0.480466,0.894043,follow
1757407055.965885,0.080323,0.068734,-0.041563,0.441271,-0.051739,0.106731,0.372538,-0.010175,0.479511,0.895508,follow
1757407055.999277,0.077467,0.066811,-0.039211,0.442957,-0.052318,0.104822,0.376146,-0.013107,0.478617,0.891602,follow
1757407056.031888,0.073638,0.063268,-0.037679,0.442885,-0.053765,0.107464,0.379617,-0.016086,0.477853,0.898926,follow
