timestamp,error_xy,dx,dy,cube_x,cube_y,cube_z,ee_x,ee_y,ee_z,confidence,control_mode
1757508663.494589,0.204080,0.203940,-0.007541,0.512743,-0.006997,0.093939,0.308803,0.000544,0.487716,0.888184,follow
1757508663.527863,0.203225,0.203078,-0.007716,0.511881,-0.007171,0.092341,0.308803,0.000544,0.487716,0.885742,follow
1757508663.561337,0.204104,0.203966,-0.007491,0.512770,-0.006946,0.092341,0.308804,0.000544,0.487717,0.882324,follow
1757508663.594326,0.204679,0.204560,-0.006980,0.513364,-0.006433,0.093406,0.308804,0.000546,0.487715,0.883301,follow
1757508663.628032,0.201851,0.201714,-0.007428,0.512770,-0.006946,0.092341,0.311055,0.000482,0.488277,0.888184,follow
1757508663.661685,0.191321,0.191219,-0.006240,0.513993,-0.005853,0.092341,0.322774,0.000387,0.491059,0.884766,follow
1757508663.695259,0.179942,0.179829,-0.006369,0.513102,-0.006078,0.092341,0.333273,0.000291,0.491144,0.883301,follow
1757508663.728389,0.163550,0.163251,-0.009890,0.508829,-0.009905,0.092341,0.345578,-0.000015,0.489477,0.884766,follow
1757508663.761716,0.154400,0.154264,-0.006457,0.512491,-0.006625,0.092341,0.358227,-0.000167,0.486744,0.877441,follow
1757508663.795065,0.141653,0.141515,-0.006256,0.512472,-0.006658,0.093406,0.370958,-0.000402,0.483972,0.885742,follow
1757508663.828501,0.127500,0.127229,-0.008307,0.511229,-0.008944,0.094431,0.383999,-0.000637,0.481730,0.884766,follow
1757508663.861867,0.116193,0.115968,-0.007220,0.512165,-0.008091,0.093367,0.396197,-0.000871,0.479984,0.882324,follow
1757508663.894804,0.103454,0.103228,-0.006833,0.510965,-0.007991,0.092341,0.407737,-0.001158,0.478376,0.877441,follow
1757508663.928294,0.093640,0.093453,-0.005914,0.512773,-0.007271,0.092561,0.419320,-0.001357,0.477050,0.878906,follow
1757508663.961410,0.083097,0.082941,-0.005097,0.513058,-0.006707,0.093406,0.430117,-0.001610,0.475951,0.881836,follow
1757508663.995151,0.070434,0.070023,-0.007599,0.510000,-0.009440,0.093406,0.439977,-0.001841,0.474919,0.877441,follow
1757508664.028639,0.059565,0.059049,-0.007824,0.508800,-0.009955,0.093939,0.449752,-0.002131,0.474034,0.878418,follow
1757508664.062167,0.055387,0.055258,-0.003782,0.513670,-0.006160,0.093406,0.458412,-0.002378,0.473171,0.887207,follow
1757508664.095433,0.045785,0.045451,-0.005521,0.511847,-0.008107,0.093094,0.466396,-0.002586,0.472317,0.878418,follow
1757508664.128687,0.037898,0.037304,-0.006684,0.510617,-0.009491,0.094431,0.473313,-0.002807,0.471669,0.887207,follow
1757508664.162202,0.034224,0.034003,-0.003886,0.513388,-0.006998,0.093367,0.479385,-0.003112,0.471139,0.883301,follow
1757508664.195215,0.028588,0.028321,-0.003896,0.513083,-0.007271,0.093367,0.484761,-0.003375,0.470648,0.889648,follow
