seq_id,msg_type,event,stamp_send,stamp_recv,delay_s,buffer_size 
0,joint_state,enqueue,1757508656.602381,1757508656.702381,0.100000,1
1,joint_state,enqueue,1757508656.635599,1757508656.735599,0.100000,2
2,joint_state,enqueue,1757508656.669116,1757508656.769116,0.100000,3
3,joint_state,enqueue,1757508656.702722,1757508656.802722,0.100000,4
4,joint_state,dequeue,1757508656.602381,1757508656.704373,0.101992,3
5,joint_state,enqueue,1757508656.735718,1757508656.835718,0.100000,4
6,joint_state,dequeue,1757508656.635599,1757508656.736372,0.100773,3
7,joint_state,enqueue,1757508656.769061,1757508656.869061,0.100000,4
8,joint_state,dequeue,1757508656.669116,1757508656.770393,0.101277,3
9,joint_state,enqueue,1757508656.802443,1757508656.902443,0.100000,4
10,joint_state,dequeue,1757508656.702722,1757508656.804392,0.101670,3
11,joint_state,dequeue,1757508656.735718,1757508656.836352,0.100634,2
12,joint_state,enqueue,1757508656.835804,1757508656.935804,0.100000,3
13,joint_state,enqueue,1757508656.869097,1757508656.969097,0.100000,4
14,joint_state,dequeue,1757508656.769061,1757508656.870385,0.101324,3
15,joint_state,enqueue,1757508656.902397,1757508657.002397,0.100000,4
16,joint_state,dequeue,1757508656.802443,1757508656.904393,0.101949,3
17,joint_state,dequeue,1757508656.835804,1757508656.936372,0.100567,2
18,joint_state,enqueue,1757508656.935766,1757508657.035766,0.100000,3
19,joint_state,enqueue,1757508656.969057,1757508657.069057,0.100000,4
20,joint_state,dequeue,1757508656.869097,1757508656.970333,0.101236,3
21,joint_state,enqueue,1757508657.002378,1757508657.102378,0.100000,4
22,joint_state,dequeue,1757508656.902397,1757508657.004398,0.102001,3
23,joint_state,dequeue,1757508656.935766,1757508657.036425,0.100659,2
24,joint_state,enqueue,1757508657.035760,1757508657.135760,0.100000,3
25,joint_state,enqueue,1757508657.069045,1757508657.169045,0.100000,4
26,joint_state,dequeue,1757508656.969057,1757508657.070353,0.101296,3
27,joint_state,dequeue,1757508657.002378,1757508657.102431,0.100053,2
28,joint_state,enqueue,1757508657.102395,1757508657.202394,0.100000,3
29,joint_state,enqueue,1757508657.135733,1757508657.235733,0.100000,4
30,joint_state,dequeue,1757508657.035760,1757508657.136367,0.100606,3
31,joint_state,enqueue,1757508657.169088,1757508657.269088,0.100000,4
32,joint_state,dequeue,1757508657.069045,1757508657.170756,0.101711,3
33,joint_state,enqueue,1757508657.202344,1757508657.302344,0.100000,4
34,joint_state,dequeue,1757508657.102395,1757508657.204321,0.101926,3
35,joint_state,enqueue,1757508657.235689,1757508657.335689,0.100000,4
36,joint_state,dequeue,1757508657.135733,1757508657.236345,0.100612,3
37,joint_state,enqueue,1757508657.268996,1757508657.368996,0.100000,4
38,joint_state,dequeue,1757508657.169088,1757508657.270321,0.101233,3
39,joint_state,dequeue,1757508657.202344,1757508657.302419,0.100075,2
40,joint_state,enqueue,1757508657.302317,1757508657.402317,0.100000,3
41,joint_state,enqueue,1757508657.335642,1757508657.435642,0.100000,4
42,joint_state,dequeue,1757508657.235689,1757508657.336409,0.100720,3
43,joint_state,enqueue,1757508657.368812,1757508657.468812,0.100000,4
44,joint_state,dequeue,1757508657.268996,1757508657.370545,0.101549,3
45,joint_state,dequeue,1757508657.302317,1757508657.402417,0.100100,2
46,joint_state,enqueue,1757508657.402332,1757508657.502332,0.100000,3
47,joint_state,enqueue,1757508657.435702,1757508657.535702,0.100000,4
48,joint_state,dequeue,1757508657.335642,1757508657.436376,0.100734,3
49,joint_state,enqueue,1757508657.469018,1757508657.569018,0.100000,4
