timestamp,error_xy,dx,dy,cube_x,cube_y,cube_z,ee_x,ee_y,ee_z,confidence
18.562000,0.469427,0.391244,-0.259403,0.698142,-0.259379,0.300000,0.306898,0.000024,0.486885,1.000000
20.562000,0.126354,-0.108777,0.064289,0.542936,-0.159101,0.300000,0.651713,-0.223389,0.475477,1.000000
22.561000,0.107086,0.023641,0.104444,0.567047,-0.054965,0.300000,0.543406,-0.159409,0.475587,1.000000
24.564000,0.364747,-0.159969,0.327797,0.407251,0.272896,0.300000,0.567220,-0.054901,0.475618,1.000000
26.561000,0.195757,0.187961,-0.054693,0.594995,0.217619,0.300000,0.407033,0.272312,0.475599,1.000000
28.562000,0.113029,-0.098700,0.055081,0.493934,0.270297,0.300000,0.592634,0.215216,0.475046,1.000000
30.563000,0.181077,-0.021549,-0.179790,0.473234,0.091504,0.300000,0.494783,0.271295,0.475128,1.000000
32.562000,0.243390,0.073900,-0.231900,0.547565,-0.140145,0.300000,0.473664,0.091755,0.475193,1.000000
34.561000,0.263729,-0.218207,0.148118,0.329211,0.007941,0.300000,0.547417,-0.140177,0.475185,1.000000
36.562000,0.261704,0.076193,0.250367,0.406321,0.258942,0.300000,0.330128,0.008576,0.475553,1.000000
38.561000,0.329180,0.226904,-0.238482,0.632467,0.015258,0.300000,0.405563,0.253741,0.473176,1.000000
44.140000,0.167070,-0.167070,0.000340,0.465439,0.015602,0.079566,0.632509,0.015262,0.473188,0.921387
46.140000,0.002642,-0.002201,-0.001462,0.463203,0.013958,0.078485,0.465404,0.015420,0.473343,0.921875
48.140000,0.001800,0.001652,0.000716,0.464564,0.014686,0.081186,0.462913,0.013970,0.473450,0.922363
50.140000,0.002747,-0.000195,-0.002741,0.464008,0.012341,0.080348,0.464203,0.015082,0.473403,0.918945
52.140000,0.001330,-0.000149,0.001322,0.463728,0.013842,0.080646,0.463877,0.012521,0.473253,0.917969
54.140000,0.005911,0.004528,0.003800,0.468280,0.017667,0.077945,0.463752,0.013868,0.473260,0.920410
56.140000,0.002399,0.001173,0.002093,0.469473,0.019788,0.074704,0.468300,0.017695,0.473263,0.918457
58.140000,0.004079,-0.002854,-0.002914,0.466644,0.016898,0.075244,0.469498,0.019812,0.473269,0.921387
