seq_id,msg_type,event,stamp_send,stamp_recv,delay_s,buffer_size 
0,joint_state,recv,1757510621.064863,1757510621.065126,0.000263,1
1,joint_state,recv,1757510621.064863,1757510621.065248,0.000386,2
2,joint_state,recv,1757510621.064863,1757510621.065269,0.000406,3
3,joint_state,recv,1757510621.081168,1757510621.081408,0.000240,4
4,joint_state,recv,1757510621.114874,1757510621.115036,0.000162,5
5,joint_state,recv,1757510621.146819,1757510621.146987,0.000168,6
6,joint_state,recv,1757510621.180847,1757510621.181046,0.000199,7
7,joint_state,recv,1757510621.214841,1757510621.215010,0.000169,8
8,joint_state,recv,1757510621.246850,1757510621.247000,0.000149,9
9,joint_state,recv,1757510621.280892,1757510621.281092,0.000199,10
10,joint_state,recv,1757510621.314839,1757510621.315108,0.000269,11
11,joint_state,recv,1757510621.346847,1757510621.347110,0.000263,12
12,joint_state,recv,1757510621.380870,1757510621.381147,0.000277,13
13,joint_state,recv,1757510621.414836,1757510621.415099,0.000263,14
14,joint_state,recv,1757510621.446867,1757510621.447153,0.000286,15
15,joint_state,recv,1757510621.480861,1757510621.481189,0.000329,16
16,joint_state,recv,1757510621.514854,1757510621.515152,0.000298,17
17,joint_state,recv,1757510621.546842,1757510621.547187,0.000345,18
18,joint_state,recv,1757510621.580842,1757510621.581105,0.000263,19
19,joint_state,recv,1757510621.614815,1757510621.615155,0.000340,20
20,joint_state,recv,1757510621.646874,1757510621.647160,0.000285,21
21,joint_state,recv,1757510621.680865,1757510621.681464,0.000599,22
22,joint_state,recv,1757510621.714860,1757510621.715129,0.000269,23
23,joint_state,recv,1757510621.748831,1757510621.749109,0.000278,24
24,joint_state,recv,1757510621.780871,1757510621.781172,0.000300,25
25,joint_state,recv,1757510621.814834,1757510621.815100,0.000267,26
26,joint_state,recv,1757510621.846841,1757510621.847188,0.000347,27
27,joint_state,recv,1757510621.880809,1757510621.881097,0.000288,28
28,joint_state,recv,1757510621.914897,1757510621.915203,0.000306,29
29,joint_state,recv,1757510621.946873,1757510621.947119,0.000246,30
30,joint_state,recv,1757510621.980881,1757510621.981143,0.000262,31
31,joint_state,recv,1757510622.014868,1757510622.015154,0.000286,32
32,joint_state,recv,1757510622.046868,1757510622.047149,0.000280,33
33,joint_state,recv,1757510622.080848,1757510622.081117,0.000269,34
34,joint_state,recv,1757510622.114892,1757510622.115165,0.000273,35
35,joint_state,recv,1757510622.148835,1757510622.149137,0.000302,36
36,joint_state,recv,1757510622.180895,1757510622.181177,0.000283,37
37,joint_state,recv,1757510622.214859,1757510622.215199,0.000340,38
38,joint_state,recv,1757510622.248811,1757510622.249103,0.000292,39
39,joint_state,recv,1757510622.280802,1757510622.281114,0.000311,40
40,joint_state,recv,1757510622.314858,1757510622.315212,0.000354,41
41,joint_state,recv,1757510622.348883,1757510622.349218,0.000335,42
42,joint_state,recv,1757510622.380869,1757510622.381114,0.000246,43
43,joint_state,recv,1757510622.414833,1757510622.415099,0.000266,44
44,joint_state,recv,1757510622.446835,1757510622.447134,0.000299,45
45,joint_state,recv,1757510622.480869,1757510622.481124,0.000255,46
46,joint_state,recv,1757510622.514881,1757510622.515232,0.000351,47
47,joint_state,recv,1757510622.548835,1757510622.549159,0.000324,48
48,joint_state,recv,1757510622.580836,1757510622.581163,0.000327,49
49,joint_state,recv,1757510622.614888,1757510622.615247,0.000359,50
50,joint_state,recv,1757510622.646865,1757510622.647113,0.000248,51
51,joint_state,recv,1757510622.680818,1757510622.681113,0.000295,52
52,joint_state,recv,1757510622.714827,1757510622.715110,0.000283,53
53,joint_state,recv,1757510622.748906,1757510622.749233,0.000327,54
54,joint_state,recv,1757510622.780885,1757510622.781144,0.000260,55
55,joint_state,recv,1757510622.814857,1757510622.815165,0.000308,56
56,joint_state,recv,1757510622.847243,1757510622.847509,0.000265,57
57,joint_state,recv,1757510622.880869,1757510622.881095,0.000226,58
58,joint_state,recv,1757510622.914831,1757510622.915107,0.000276,59
59,joint_state,recv,1757510622.946992,1757510622.947296,0.000304,60
60,joint_state,recv,1757510622.980843,1757510622.981125,0.000282,61
61,joint_state,recv,1757510623.014917,1757510623.015191,0.000274,62
62,joint_state,recv,1757510623.046882,1757510623.047126,0.000244,63
63,joint_state,recv,1757510623.080910,1757510623.081237,0.000327,64
64,joint_state,recv,1757510623.114856,1757510623.115143,0.000287,65
65,joint_state,recv,1757510623.148837,1757510623.149117,0.000280,66
66,joint_state,recv,1757510623.181014,1757510623.181304,0.000290,67
67,joint_state,recv,1757510623.214864,1757510623.215119,0.000255,68
68,joint_state,recv,1757510623.246849,1757510623.247097,0.000248,69
69,joint_state,recv,1757510623.280871,1757510623.281155,0.000284,70
70,joint_state,recv,1757510623.314881,1757510623.315197,0.000317,71
71,joint_state,recv,1757510623.348864,1757510623.349148,0.000285,72
72,joint_state,recv,1757510623.380834,1757510623.381109,0.000275,73
73,joint_state,recv,1757510623.414865,1757510623.415193,0.000328,74
74,joint_state,recv,1757510623.448910,1757510623.449211,0.000301,75
75,joint_state,recv,1757510623.481117,1757510623.481359,0.000242,76
76,joint_state,recv,1757510623.514840,1757510623.515174,0.000334,77
77,joint_state,recv,1757510623.548851,1757510623.549115,0.000265,78
78,joint_state,recv,1757510623.580920,1757510623.581213,0.000293,79
79,joint_state,recv,1757510623.614885,1757510623.615218,0.000333,80
80,joint_state,recv,1757510623.646873,1757510623.647442,0.000569,81
81,joint_state,recv,1757510623.680854,1757510623.681150,0.000296,82
82,joint_state,recv,1757510623.714867,1757510623.715098,0.000231,83
83,joint_state,recv,1757510623.748844,1757510623.749115,0.000270,84
84,joint_state,recv,1757510623.781136,1757510623.781412,0.000276,85
85,joint_state,recv,1757510623.814870,1757510623.815162,0.000293,86
86,joint_state,recv,1757510623.846890,1757510623.847088,0.000198,87
87,joint_state,recv,1757510623.880896,1757510623.881129,0.000233,88
88,joint_state,recv,1757510623.914779,1757510623.914967,0.000188,89
89,joint_state,recv,1757510623.946821,1757510623.947031,0.000210,90
90,joint_state,recv,1757510623.980773,1757510623.981012,0.000238,91
91,joint_state,recv,1757510624.014860,1757510624.015139,0.000280,92
92,joint_state,recv,1757510624.046964,1757510624.047226,0.000262,93
93,joint_state,recv,1757510624.080842,1757510624.081062,0.000220,94
94,joint_state,recv,1757510624.114803,1757510624.115049,0.000247,95
95,joint_state,recv,1757510624.146863,1757510624.147173,0.000310,96
96,joint_state,recv,1757510624.180841,1757510624.181072,0.000231,97
97,joint_state,recv,1757510624.215019,1757510624.215269,0.000249,98
98,joint_state,recv,1757510624.246850,1757510624.247114,0.000264,99
99,joint_state,recv,1757510624.280857,1757510624.281114,0.000257,100
100,joint_state,recv,1757510624.314857,1757510624.315141,0.000284,101
101,joint_state,recv,1757510624.346862,1757510624.347106,0.000244,102
102,joint_state,recv,1757510624.380852,1757510624.381066,0.000214,103
103,joint_state,recv,1757510624.414858,1757510624.415060,0.000202,104
104,joint_state,recv,1757510624.446862,1757510624.447046,0.000184,105
105,joint_state,recv,1757510624.480842,1757510624.481025,0.000183,106
106,joint_state,recv,1757510624.514816,1757510624.514937,0.000121,107
107,joint_state,recv,1757510624.546808,1757510624.546902,0.000094,108
108,joint_state,recv,1757510624.580835,1757510624.580975,0.000140,109
109,joint_state,recv,1757510624.614809,1757510624.614912,0.000102,110
110,joint_state,recv,1757510624.646836,1757510624.646936,0.000100,111
111,joint_state,recv,1757510624.680840,1757510624.680975,0.000135,112
112,joint_state,recv,1757510624.714842,1757510624.715081,0.000239,113
113,joint_state,recv,1757510624.746865,1757510624.747163,0.000298,114
114,joint_state,recv,1757510624.780828,1757510624.781086,0.000258,115
115,joint_state,recv,1757510624.814874,1757510624.815238,0.000364,116
116,joint_state,recv,1757510624.846837,1757510624.847151,0.000314,117
117,joint_state,recv,1757510624.880900,1757510624.881174,0.000273,118
118,joint_state,recv,1757510624.914832,1757510624.915096,0.000264,119
119,joint_state,recv,1757510624.946777,1757510624.947092,0.000315,120
120,joint_state,recv,1757510624.980828,1757510624.981182,0.000354,121
121,joint_state,recv,1757510625.014870,1757510625.015201,0.000330,122
122,joint_state,recv,1757510625.046842,1757510625.047232,0.000390,123
123,joint_state,recv,1757510625.080857,1757510625.081197,0.000340,124
124,joint_state,recv,1757510625.114800,1757510625.115108,0.000308,125
125,joint_state,recv,1757510625.148870,1757510625.149195,0.000325,126
126,joint_state,recv,1757510625.180849,1757510625.181088,0.000239,127
127,joint_state,recv,1757510625.214833,1757510625.215117,0.000283,128
128,joint_state,recv,1757510625.246798,1757510625.247060,0.000262,129
129,joint_state,recv,1757510625.280835,1757510625.281155,0.000320,130
130,joint_state,recv,1757510625.314795,1757510625.315052,0.000257,131
131,joint_state,recv,1757510625.346924,1757510625.347193,0.000269,132
