timestamp,error_xy,dx,dy,cube_x,cube_y,cube_z,ee_x,ee_y,ee_z,confidence,control_mode
1757406722.275806,0.090640,0.089214,-0.016014,0.397809,-0.015389,0.080058,0.308595,0.000626,0.487669,0.901855,follow
1757406722.375919,0.091885,0.090589,-0.015376,0.399183,-0.014753,0.076948,0.308594,0.000623,0.487670,0.899902,follow
1757406722.476546,0.082867,0.082322,-0.009491,0.402408,-0.010256,0.071990,0.320086,-0.000766,0.488023,0.902832,follow
1757406722.509325,0.077408,0.076999,-0.007942,0.402455,-0.009522,0.068532,0.325456,-0.001581,0.486852,0.901367,follow
1757406722.675874,0.046578,0.046072,-0.006847,0.401098,-0.010865,0.071990,0.355026,-0.004019,0.480872,0.898926,follow
1757406722.709177,0.038192,0.036291,-0.011900,0.396490,-0.016018,0.080634,0.360199,-0.004119,0.480067,0.904785,follow
1757406722.775987,0.029579,0.027164,-0.011706,0.397274,-0.015980,0.080634,0.370110,-0.004274,0.479133,0.901855,follow
1757406722.809456,0.028483,0.027751,-0.006417,0.401893,-0.010808,0.071413,0.374142,-0.004391,0.478921,0.901855,follow
1757406722.876259,0.020033,0.016956,-0.010670,0.397537,-0.015694,0.080634,0.380581,-0.005024,0.478267,0.901855,follow
1757406723.043136,0.011623,0.009326,-0.006936,0.398654,-0.013778,0.076024,0.389328,-0.006842,0.476790,0.902832,follow
1757406723.109047,0.010225,0.007692,-0.006737,0.398104,-0.014224,0.078329,0.390412,-0.007488,0.476273,0.902832,follow
1757406723.209855,0.010154,0.008239,-0.005935,0.398918,-0.014127,0.076600,0.390679,-0.008192,0.476177,0.896973,follow
1757406723.243024,0.010017,0.009031,-0.004335,0.399712,-0.012616,0.075447,0.390681,-0.008281,0.476156,0.899902,follow
1757406723.510007,0.009885,0.007403,-0.006550,0.398111,-0.015024,0.077753,0.390707,-0.008474,0.476135,0.893066,follow
1757406723.576621,0.015217,-0.000281,-0.015214,0.390429,-0.023693,0.097347,0.390710,-0.008479,0.476136,0.894043,follow
1757406723.643376,0.018056,-0.002686,-0.017855,0.388028,-0.026343,0.099652,0.390713,-0.008487,0.476132,0.891602,follow
1757406724.110637,0.011426,0.011386,-0.000955,0.401722,-0.018907,0.105083,0.390336,-0.017952,0.476032,0.890137,follow
1757406724.177056,0.023520,0.021385,0.009791,0.411699,-0.008663,0.106529,0.390314,-0.018453,0.476028,0.890137,follow
1757406724.215711,0.034560,0.028889,0.018970,0.419192,0.000296,0.103339,0.390303,-0.018673,0.476026,0.894043,follow
1757406724.243607,0.042535,0.034863,0.024367,0.425182,0.005625,0.103296,0.390320,-0.018742,0.476029,0.810547,follow
1757406724.277714,0.049456,0.039560,0.029680,0.429976,0.010988,0.104127,0.390416,-0.018692,0.476059,0.863281,follow
1757406724.310655,0.060228,0.046464,0.038322,0.437291,0.019957,0.102830,0.390827,-0.018364,0.476149,0.865234,follow
1757406724.343518,0.069986,0.053307,0.045347,0.444956,0.027738,0.103675,0.391649,-0.017609,0.476193,0.849121,follow
1757406724.377306,0.077464,0.057198,0.052241,0.450101,0.036002,0.102815,0.392904,-0.016239,0.476131,0.864258,follow
1757406724.410625,0.083375,0.060886,0.056958,0.455307,0.042564,0.100153,0.394420,-0.014394,0.475825,0.851074,follow
1757406724.443616,0.087909,0.063225,0.061079,0.459639,0.049109,0.100529,0.396413,-0.011970,0.475400,0.826660,follow
1757406724.477263,0.091941,0.065896,0.064117,0.464803,0.055418,0.097712,0.398907,-0.008699,0.474826,0.843750,follow
1757406724.510782,0.089987,0.064731,0.062510,0.466585,0.057821,0.097008,0.401854,-0.004690,0.474141,0.860840,follow
1757406724.544131,0.087814,0.063884,0.060250,0.469159,0.060074,0.099608,0.405275,-0.000176,0.473238,0.873047,follow
1757406724.577589,0.084040,0.060859,0.057956,0.469686,0.062520,0.099947,0.408826,0.004564,0.472424,0.863281,follow
1757406724.610732,0.082039,0.060691,0.055200,0.473434,0.065179,0.099956,0.412743,0.009979,0.471797,0.856934,follow
1757406724.643495,0.074509,0.055616,0.049583,0.472290,0.064836,0.100989,0.416673,0.015254,0.470997,0.844727,follow
1757406724.677577,0.067124,0.051316,0.043270,0.472303,0.063934,0.100989,0.420987,0.020664,0.470292,0.864258,follow
1757406724.710646,0.064812,0.049151,0.042246,0.474255,0.067972,0.099268,0.425104,0.025726,0.469590,0.867188,follow
