timestamp,error_xy,dx,dy,cube_x,cube_y,cube_z,ee_x,ee_y,ee_z,confidence,control_mode
23.757000,0.020000,0.016403,-0.011443,0.466684,-0.111422,0.300000,0.306891,0.000049,0.486864,1.000000,follow
25.756000,0.020000,-0.011309,0.016496,0.322051,0.099264,0.300000,0.465932,-0.110619,0.486568,1.000000,follow
27.758000,0.020000,0.009661,-0.017512,0.505035,-0.231371,0.300000,0.322966,0.098650,0.487245,1.000000,follow
29.759000,0.020000,-0.019774,-0.003001,0.329711,-0.257620,0.300000,0.504806,-0.231048,0.487325,1.000000,follow
31.757000,0.020000,0.019952,-0.001384,0.685028,-0.282406,0.300000,0.329904,-0.257771,0.487424,1.000000,follow
33.756000,0.020000,-0.008784,0.017968,0.424951,0.237492,0.300000,0.678988,-0.282127,0.485581,1.000000,follow
35.757000,0.020000,0.004491,-0.019489,0.531627,-0.226285,0.300000,0.424777,0.237459,0.485581,1.000000,follow
37.759000,0.020000,0.018583,0.007395,0.643493,-0.181945,0.300000,0.531821,-0.226386,0.485534,1.000000,follow
39.758000,0.020000,-0.010511,0.017016,0.406280,0.201958,0.300000,0.643281,-0.181724,0.485322,1.000000,follow
41.759000,0.020000,0.014102,-0.014182,0.670125,-0.056169,0.300000,0.414155,0.201243,0.487870,1.000000,follow
43.759000,0.020000,-0.019545,0.004242,0.373116,0.007833,0.300000,0.667763,-0.056115,0.487466,1.000000,follow
